GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pbl_recyclai,edu.mondragon.os.pbl.recyclai,Bin,6,450,4,32,1,84,4,26,0,12
pbl_recyclai,edu.mondragon.os.pbl.recyclai,Person,0,103,0,2,0,19,0,3,0,2
pbl_recyclai,edu.mondragon.os.pbl.recyclai,TrashBinSystem,0,147,0,4,0,34,0,12,0,10
pbl_recyclai,edu.mondragon.os.pbl.recyclai,Compartment,0,46,0,4,0,14,0,9,0,7
pbl_recyclai,edu.mondragon.os.pbl.recyclai,TrashGenerator,0,36,0,2,0,8,0,4,0,3
pbl_recyclai,edu.mondragon.os.pbl.recyclai,BackendService,4,199,2,6,2,53,2,11,0,9
pbl_recyclai,edu.mondragon.os.pbl.recyclai,Technician,31,94,2,8,7,20,2,5,0,2
pbl_recyclai,edu.mondragon.os.pbl.recyclai,GarbageCollector,0,100,0,2,0,21,0,3,0,2
pbl_recyclai,edu.mondragon.os.pbl.recyclai,App,0,150,0,6,0,37,0,7,0,4
pbl_recyclai,edu.mondragon.os.pbl.recyclai,TrashType,0,33,0,0,0,6,0,1,0,1
